delta,E_quantum,E_lhv
2.478367537831948,0.7880107536067219,0.58021
2.4870941840919194,0.793353340291235,0.58559
2.4958208303518914,0.7986355100472929,0.59105
2.504547476611863,0.8038568606172173,0.59596
2.5132741228718345,0.8090169943749473,0.60161
2.522000769131806,0.8141155183563191,0.60712
2.530727415391778,0.8191520442889919,0.61295
2.5394540616517496,0.8241261886220157,0.61862
2.548180707911721,0.8290375725550416,0.62408
2.5569073541716927,0.8338858220671681,0.62971
2.5656340004316642,0.8386705679454239,0.63551
2.5743606466916362,0.8433914458128857,0.64119
2.5830872929516078,0.848048096156426,0.6468
2.5918139392115793,0.8526401643540922,0.65195
2.600540585471551,0.8571673007021122,0.65765
2.609267231731523,0.8616291604415258,0.66332
2.6179938779914944,0.8660254037844387,0.66838
2.626720524251466,0.8703556959398997,0.67412
2.6354471705114375,0.8746197071393957,0.67917
2.644173816771409,0.8788171126619653,0.68475
2.652900463031381,0.882947592858927,0.69013
2.6616271092913526,0.8870108331782217,0.69574
2.670353755551324,0.8910065241883678,0.70115
2.6790804018112957,0.894934361602025,0.70658
2.6878070480712677,0.898794046299167,0.71216
2.6965336943312392,0.9025852843498606,0.71774
2.705260340591211,0.9063077870366499,0.72342
2.7139869868511823,0.9099612708765431,0.7289
2.722713633111154,0.9135454576426008,0.73416
2.731440279371126,0.917060074385124,0.73969
2.7401669256310974,0.9205048534524404,0.74471
2.748893571891069,0.9238795325112867,0.75014
2.7576202181510405,0.9271838545667873,0.75552
2.7663468644110125,0.9304175679820246,0.76119
2.775073510670984,0.9335804264972017,0.76679
2.7838001569309556,0.9366721892483976,0.77236
2.792526803190927,0.9396926207859083,0.77809
2.8012534494508987,0.9426414910921783,0.78381
2.8099800957108707,0.9455185755993168,0.78951
2.8187067419708423,0.9483236552061993,0.79494
2.827433388230814,0.9510565162951535,0.80045
2.8361600344907854,0.9537169507482268,0.8062
2.8448866807507573,0.9563047559630355,0.81126
2.853613327010729,0.958819734868193,0.81693
2.8623399732707004,0.9612616959383189,0.82194
2.871066619530672,0.963630453208623,0.82757
2.8797932657906435,0.9659258262890682,0.83316
2.8885199120506155,0.9681476403781077,0.83894
2.897246558310587,0.9702957262759965,0.8443
2.9059732045705586,0.9723699203976766,0.85019
2.91469985083053,0.9743700647852351,0.85577
2.923426497090502,0.9762960071199334,0.86102
2.9321531433504737,0.9781476007338057,0.86659
2.9408797896104453,0.9799247046208296,0.87197
2.949606435870417,0.981627183447664,0.87762
2.9583330821303884,0.9832549075639545,0.88317
2.9670597283903604,0.984807753012208,0.88856
2.975786374650332,0.9862856015372314,0.89407
2.9845130209103035,0.9876883405951377,0.8998
2.993239667170275,0.9890158633619168,0.90514
3.001966313430247,0.9902680687415704,0.91088
3.0106929596902186,0.9914448613738104,0.91687
3.01941960595019,0.992546151641322,0.92258
3.0281462522101616,0.9935718556765875,0.92813
3.036872898470133,0.9945218953682733,0.9336
3.045599544730105,0.9953961983671789,0.93897
3.0543261909900767,0.9961946980917455,0.94446
3.0630528372500483,0.996917333733128,0.94989
3.07177948351002,0.9975640502598242,0.95509
3.080506129769992,0.998134798421867,0.96046
3.0892327760299634,0.9986295347545738,0.96636
3.097959422289935,0.9990482215818578,0.97167
3.1066860685499065,0.9993908270190958,0.9775
3.115412714809878,0.9996573249755573,0.98323
3.12413936106985,0.9998476951563913,0.98877
3.1328660073298216,0.9999619230641713,0.99422
3.141592653589793,1.0,1.0
