r_m,yukawa,frac_gravity,frac_EM
9.170774506742931e-05,0.9123717557306569,0.009123717557306569,9.123717557306568e-07
9.384930864942721e-05,0.9104199443154286,0.009104199443154286,9.104199443154285e-07
9.604088212505369e-05,0.908426876888364,0.00908426876888364,9.08426876888364e-07
9.828363332770031e-05,0.9063917843738298,0.0090639178437383,9.063917843738298e-07
0.00010057875736205836,0.904313888231783,0.00904313888231783,9.04313888231783e-07
0.00010292747724096078,0.9021924005910856,0.009021924005910856,9.021924005910856e-07
0.00010533104453709371,0.9000265243995093,0.009000265243995094,9.000265243995092e-07
0.00010779074004992735,0.8978154535912523,0.008978154535912523,8.978154535912522e-07
0.00011030787448822151,0.8955583732728166,0.008955583732728166,8.955583732728165e-07
0.00011288378916846884,0.8932544599281246,0.008932544599281247,8.932544599281246e-07
0.00011551985672964792,0.8909028816437767,0.008909028816437767,8.909028816437767e-07
0.00011821748186466722,0.8885027983553824,0.008885027983553824,8.885027983553823e-07
0.00012097810206889013,0.8860533621159206,0.008860533621159206,8.860533621159205e-07
0.00012380318840613967,0.8835537173871139,0.008835537173871139,8.835537173871138e-07
0.00012669424629259063,0.8810030013548287,0.008810030013548287,8.810030013548287e-07
0.00012965281629896688,0.8784003442695383,0.008784003442695382,8.784003442695383e-07
0.00013268047497147246,0.8757448698129111,0.008757448698129111,8.75744869812911e-07
0.00013577883567189277,0.8730356954916147,0.008730356954916148,8.730356954916147e-07
0.00013894954943731373,0.8702719330594493,0.008702719330594492,8.702719330594492e-07
0.00014219430585991677,0.867452688968949,0.00867452688968949,8.67452688968949e-07
0.00014551483398731938,0.8645770648536125,0.008645770648536125,8.645770648536125e-07
0.00014891290324394086,0.8616441580419465,0.008616441580419465,8.616441580419465e-07
0.0001523903243738829,0.8586530621045286,0.008586530621045287,8.586530621045285e-07
0.0001559489504058283,0.8556028674353156,0.008556028674353155,8.556028674353155e-07
0.0001595906776404731,0.852492661868436,0.00852492661868436,8.524926618684359e-07
0.00016331744666101667,0.8493215313317336,0.008493215313317336,8.493215313317336e-07
0.00016713124336724874,0.8460885605383316,0.008460885605383316,8.460885605383315e-07
0.00017103410003378413,0.8427928337175067,0.008427928337175067,8.427928337175066e-07
0.00017502809639301012,0.8394334353861703,0.008394334353861704,8.394334353861703e-07
0.00017911536074332303,0.8360094511622613,0.008360094511622614,8.360094511622613e-07
0.00018329807108324357,0.8325199686213585,0.008325199686213584,8.325199686213585e-07
0.0001875784562720161,0.8289640781978258,0.008289640781978257,8.289640781978258e-07
0.0001919587972173111,0.8253408741317952,0.008253408741317952,8.253408741317953e-07
0.00019644142809066266,0.8216494554632902,0.008216494554632902,8.216494554632901e-07
0.00020102873757128856,0.8178889270747822,0.008178889270747822,8.178889270747822e-07
0.00020572317011895573,0.8140584007834564,0.008140584007834564,8.140584007834563e-07
0.0002105272272765707,0.8101569964844414,0.008101569964844414,8.101569964844414e-07
0.00021544346900318823,0.8061838433462372,0.008061838433462372,8.061838433462372e-07
0.00022047451503814746,0.8021380810595408,0.008021380810595408,8.021380810595407e-07
0.0002256230462970635,0.7980188611406341,0.007980188611406341,7.980188611406341e-07
0.00023089180630041925,0.793825348290452,0.007938253482904521,7.93825348290452e-07
0.00023628360263551753,0.7895567218104017,0.007895567218104017,7.895567218104017e-07
0.00024180130845257206,0.7852121770759454,0.007852121770759455,7.852121770759453e-07
0.0002474478639957353,0.7807909270688892,0.007807909270688892,7.807909270688892e-07
0.00025322627816987944,0.7762922039692499,0.0077629220396924995,7.762922039692499e-07
0.00025913963014396573,0.7717152608074832,0.007717152608074832,7.717152608074832e-07
0.0002651910709918538,0.7670593731777707,0.007670593731777708,7.670593731777707e-07
0.000271383825371428,0.7623238410129508,0.0076232384101295085,7.623238410129508e-07
0.0002777211932429355,0.7575079904215684,0.007575079904215683,7.575079904215683e-07
0.0002842065516274511,0.7526111755873938,0.0075261117558739375,7.526111755873937e-07
0.00029084335640640476,0.7476327807316201,0.007476327807316201,7.476327807316201e-07
0.00029763514416313193,0.7425722221378019,0.007425722221378019,7.425722221378019e-07
0.0003045855340674284,0.7374289502394302,0.007374289502394302,7.374289502394302e-07
0.00031169822980411433,0.7322024517698644,0.007322024517698644,7.322024517698644e-07
0.0003189770215466322,0.7268922519741522,0.007268922519741522,7.268922519741522e-07
0.0003264257879767324,0.7214979168820593,0.007214979168820594,7.214979168820593e-07
0.00033404849835132444,0.7160190556414088,0.007160190556414088,7.160190556414087e-07
0.0003418492146175927,0.7104553229105932,0.007104553229105933,7.104553229105932e-07
0.0003498320935775036,0.7048064213088729,0.0070480642130887295,7.048064213088729e-07
0.00035800138910285805,0.6990721039227936,0.006990721039227936,6.990721039227936e-07
0.00036636145440207163,0.6932521768667742,0.006932521768667742,6.932521768667742e-07
0.00037491674433988854,0.6873465018956061,0.006873465018956061,6.87346501895606e-07
0.0003836718178112645,0.6813549990662844,0.006813549990662844,6.813549990662843e-07
0.00039263134017068394,0.6752776494462414,0.006752776494462414,6.752776494462414e-07
0.0004018000857182091,0.6691144978646928,0.006691144978646928,6.691144978646928e-07
0.00041118294024358287,0.6628656557034274,0.006628656557034274,6.628656557034274e-07
0.00042078490362974026,0.656531303722967,0.00656531303722967,6.565313037229669e-07
0.00043061109251711735,0.6501116949196044,0.006501116949196044,6.501116949196044e-07
0.0004406667430301786,0.6436071574083869,0.00643607157408387,6.436071574083869e-07
0.0004509572135676144,0.6370180973266527,0.006370180973266527,6.370180973266526e-07
0.00046148798765769386,0.6303450017522568,0.006303450017522569,6.303450017522568e-07
0.00047226467688029543,0.6235884416301201,0.006235884416301201,6.2358844163012e-07
0.0004832930238571752,0.6167490747002261,0.0061674907470022616,6.16749074700226e-07
0.000494578905312064,0.6098276484196599,0.006098276484196599,6.098276484196598e-07
0.0005061283352022219,0.6028250028707408,0.006028250028707409,6.028250028707408e-07
0.0005179474679231213,0.5957420736467377,0.005957420736467377,5.957420736467376e-07
0.0005300426015879673,0.5885798947060821,0.005885798947060821,5.885798947060821e-07
0.0005424201813838025,0.5813396011854138,0.0058133960118541385,5.813396011854138e-07
0.0005550868030059805,0.5740224321612005,0.005740224321612006,5.740224321612005e-07
0.0005680492161728429,0.5666297333490647,0.005666297333490647,5.666297333490647e-07
0.0005813143282224713,0.5591629597293547,0.005591629597293547,5.591629597293546e-07
0.0005948892077934331,0.5516236780868783,0.005516236780868783,5.516236780868782e-07
0.0006087810885914762,0.544013569452121,0.00544013569452121,5.44013569452121e-07
0.0006229973732441847,0.5363344314306605,0.005363344314306605,5.363344314306605e-07
0.0006375456372456507,0.528588180406891,0.0052858818040689105,5.28588180406891e-07
0.0006524336329932622,0.5207768536075971,0.005207768536075971,5.20776853607597e-07
0.0006676692939187564,0.5129026110103441,0.005129026110103441,5.12902611010344e-07
0.0006832607387157406,0.5049677370811074,0.005049677370811074,5.049677370811074e-07
0.0006992162756659375,0.49697464232504174,0.004969746423250417,4.969746423250417e-07
0.0007155444070664575,0.48892586463380855,0.004889258646338086,4.889258646338085e-07
0.0007322538337604533,0.48082407041243125,0.004808240704124313,4.808240704124312e-07
0.0007493534597735757,0.4726720554682383,0.004726720554682384,4.726720554682383e-07
0.0007668523970587011,0.4644727456441033,0.004644727456441033,4.6447274564410326e-07
0.0007847599703514606,0.4562291971778953,0.004562291971778953,4.5622919717789524e-07
0.0008030857221391513,0.447944596769828,0.00447944596769828,4.47944596769828e-07
0.0008218394177456806,0.4396222613392308,0.004396222613392308,4.3962226133923083e-07
0.0008410310505352604,0.4312656374521948,0.004312656374521948,4.312656374521948e-07
0.0008606708472376159,0.4228783004015621,0.004228783004015621,4.228783004015621e-07
0.0008807692733975461,0.4144639529208423,0.004144639529208423,4.144639529208423e-07
0.0009013370389517438,0.4060264235138537,0.004060264235138537,4.060264235138537e-07
